episode,observation,action,reward,next_observation,done,step_duration,agent
1,"[-0.07435469 -0.3850809  -0.2983197   0.59470576 -0.085968   -0.8061016
  0.35045537 -1.121493   -0.26735502 -0.65573215 -1.0079675  -0.51711774
 -0.5383778   0.18032292 -0.03296706 -0.17447183]",4,0.0,"[-0.6026301   0.1530915  -0.5656747  -0.06102634  0.181387   -0.15036947
  0.61781037 -0.46576092  0.26735502  0.65573215 -0.7406125   0.13861439
 -0.27102283  0.83605504 -0.03296706 -0.17447183]",False,0.00033211708068847656,adversary_0
1,"[-0.05576602  0.01118933 -0.30575517  0.5561977  -0.07853253 -0.7675935
  0.35789084 -1.0829849  -0.32018256 -0.6019149  -1.0775099  -0.47671956
 -0.53423905  0.20138383 -0.4247253  -0.13085386]",2,0.0,"[-0.74991685  0.6615321  -0.62593776 -0.04571719  0.24165002 -0.16567862
  0.6780734  -0.48107007  0.32018256  0.6019149  -0.7573273   0.12519532
 -0.21405652  0.8032987  -0.4247253  -0.13085386]",False,0.00028586387634277344,adversary_0
1,"[ 0.2581755   0.00839199 -0.31133178  0.55731666 -0.07295593 -0.76871246
  0.36346745 -1.084104   -0.38959762 -0.5368806  -1.1296667  -0.47642094
 -0.571135    0.1871795  -0.31854397 -0.4981404 ]",1,0.0,"[-0.56243765  0.7961491  -0.7009294   0.02043602  0.31664172 -0.23183183
  0.7530651  -0.54722327  0.38959762  0.5368806  -0.74006903  0.06045968
 -0.18153736  0.7240601  -0.31854397 -0.4981404 ]",False,0.00028586387634277344,adversary_0
2,"[ 0.          0.         -0.6768321  -0.86431277  0.0604208   0.20940267
  0.022982    0.7854942   0.730244    0.3688756   1.5312629   0.33850795
 -0.2587739   0.7556902   0.          0.        ]",1,0.0,"[ 0.          0.          0.05341188 -0.49543718 -0.66982317 -0.15947293
 -0.707262    0.41661862 -0.730244   -0.3688756   0.8010189  -0.03036763
 -0.98901784  0.38681462  0.          0.        ]",False,0.0006651878356933594,adversary_0
2,"[-4.5817235e-01 -5.4818392e-01 -6.7683208e-01 -8.6431277e-01
  6.0420796e-02  2.0940267e-01  2.2981998e-02  7.8549421e-01
  7.3024398e-01  3.6887559e-01  1.5312629e+00  3.3850795e-01
 -2.5877389e-01  7.5569022e-01 -4.0000001e-01 -3.5309516e-18]",2,0.0,"[ 0.0000000e+00  3.0000001e-01  5.3411879e-02 -4.9543718e-01
 -6.6982317e-01 -1.5947293e-01 -7.0726198e-01  4.1661862e-01
 -7.3024398e-01 -3.6887559e-01  8.0101889e-01 -3.0367628e-02
 -9.8901784e-01  3.8681462e-01 -4.0000001e-01 -3.5309516e-18]",False,0.0004329681396484375,adversary_0
2,"[-2.0180158e-01 -9.5932180e-01 -7.2264934e-01 -9.1913116e-01
  1.0623803e-01  2.6422104e-01  6.8799227e-02  8.4031260e-01
  7.7606118e-01  4.5369399e-01  1.5770801e+00  3.6332634e-01
 -2.5295666e-01  8.1050861e-01 -6.9999999e-01 -6.1791653e-18]",0,0.0,"[ 3.0000001e-01  2.2499999e-01  5.3411879e-02 -4.6543717e-01
 -6.6982317e-01 -1.8947293e-01 -7.0726198e-01  3.8661861e-01
 -7.7606118e-01 -4.5369399e-01  8.0101889e-01 -9.0367630e-02
 -1.0290179e+00  3.5681462e-01 -6.9999999e-01 -6.1791653e-18]",False,0.0004181861877441406,adversary_0
2,"[-1.5135141e-01 -7.1949190e-01 -7.4282950e-01 -1.0150633e+00
  1.2641819e-01  3.6015323e-01  8.8979393e-02  9.3624479e-01
  8.2624137e-01  5.7212615e-01  1.6272603e+00  4.3675852e-01
 -3.0277652e-01  9.0644079e-01 -1.2500000e-01 -4.6343741e-18]",0,0.0,"[ 2.2499999e-01  1.6875000e-01  8.3411880e-02 -4.4293717e-01
 -6.9982320e-01 -2.1197292e-01 -7.3726195e-01  3.6411861e-01
 -8.2624137e-01 -5.7212615e-01  8.0101889e-01 -1.3536763e-01
 -1.1290178e+00  3.3431461e-01 -1.2500000e-01 -4.6343741e-18]",False,0.0003497600555419922,adversary_0
2,"[-1.1351355e-01 -5.3961891e-01 -7.5796461e-01 -1.0870125e+00
  1.4155333e-01  4.3210241e-01  1.0411453e-01  1.0081940e+00
  8.6387652e-01  6.6095036e-01  1.6348954e+00  4.9183270e-01
 -3.0014136e-01  9.7838998e-01 -9.3750000e-02 -3.4757807e-18]",2,0.0,"[ 4.6875000e-01  1.2656251e-01  1.0591188e-01 -4.2606217e-01
 -7.2232318e-01 -2.2884792e-01 -7.5976199e-01  3.4724361e-01
 -8.6387652e-01 -6.6095036e-01  7.7101892e-01 -1.6911763e-01
 -1.1640179e+00  3.1743962e-01 -9.3750000e-02 -3.4757807e-18]",False,0.00031065940856933594,adversary_0
2,"[ 0.21486484 -0.4047142  -0.76931596 -1.1409744   0.15290469  0.4860643
  0.11546589  1.0621558   0.92210287  0.7275685   1.6406218   0.56313837
 -0.298165    1.0323519  -0.0703125   0.4       ]",4,0.0,"[ 0.0515625   0.09492187  0.15278688 -0.41340593 -0.7691982  -0.24150418
 -0.806637    0.33458737 -0.92210287 -0.7275685   0.7185189  -0.16443013
 -1.2202679   0.30478337 -0.0703125   0.4       ]",False,0.00031113624572753906,adversary_0
2,"[ 0.16114862 -0.00353564 -0.7478295  -1.1814458   0.1314182   0.52653575
  0.0939794   1.1026273   0.9057726   0.7775321   1.5849166   0.6166176
 -0.32668275  1.1128232  -0.05273438  0.3       ]",3,0.0,"[-0.26132813  0.07119141  0.15794313 -0.40391374 -0.7743544  -0.25099635
 -0.8117932   0.32509518 -0.9057726  -0.7775321   0.6791439  -0.16091451
 -1.2324554   0.33529118 -0.05273438  0.3       ]",False,0.0002849102020263672,adversary_0
